file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00563_0324_1250691_to_1253421,རྟོགས་པར་བྱ་བའི་གཞི་ནི་ཚང་མང་ཡིན་ལ།  ,rtogs par bya ba'i gzhi ni tshang mang yin la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0324_1250691_to_1253421.wav,STT_AB,2,37,2.73,wav16k/STT_AB00563_0324_1250691_to_1253421.wav,རྟོགས་པར་བྱ་བའི་གཞི་ནི་ཚང་མང་ཡིན་ལ།
STT_AB00563_0328_1266595_to_1268933,ཡུལ་དུས་ཕྱོགས་རེ་བའི་ཁྱབ་པ་བཟུང་བ་ག་ལ་ཡིན།  ,yul dus phyogs re ba'i khyab pa bzung ba ga la yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0328_1266595_to_1268933.wav,STT_AB,2,44,2.338,wav16k/STT_AB00563_0328_1266595_to_1268933.wav,ཡུལ་དུས་ཕྱོགས་རོལ་བས་ཁྱབ་པ་གཟུང་བ་ག་ལ་ཡིན།
STT_AB00563_0350_1343199_to_1347278,ཚད་མ་ཡོད་མེད་ཀྱིས་འབྱེད་ན་ནི་ཚད་མ་མེད་པར་འདོད་པ་ཉམས་སོ།  ,tshad ma yod med kyis 'byed na ni tshad ma med par 'dod pa nyams so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0350_1343199_to_1347278.wav,STT_AB,2,57,4.079,wav16k/STT_AB00563_0350_1343199_to_1347278.wav,ཚད་མ་ཡོད་མེད་ཀྱིས་འབྱེད་ན་ནི་ཚད་མ་མེད་པར་འདོད་པ་ཉམས་སོ།
STT_AB00563_0360_1382585_to_1387244,རང་བཞིན་ཡོད་པར་དམ་བཅས་པའི་དོན་དེ་ཡང་རིགས་ཤེས་ཀྱིས་མི་ཁེགས་པར་འགྱུར་ཏེ།  ,rang bzhin yod par dam bcas pa'i don de yang rigs shes kyis mi khegs par 'gyur te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0360_1382585_to_1387244.wav,STT_AB,2,72,4.659,wav16k/STT_AB00563_0360_1382585_to_1387244.wav,རང་བཞིན་ཡོད་པར་དམ་བཅས་པའི་དོན་དེ་ཡང་རིགས་ཤེས་ཀྱིས་མི་ཁེགས་པར་འགྱུར་ཏེ།
STT_AB00563_0375_1451373_to_1455093,རང་བཞིན་གདོན་མི་ཟ་བར་རྣམ་པར་བཅད་དགོས་པས་སོ་སྙམ་ན།  ,rang bzhin gdon mi za bar rnam par bcad dgos pas so snyam na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0375_1451373_to_1455093.wav,STT_AB,2,51,3.72,wav16k/STT_AB00563_0375_1451373_to_1455093.wav,རང་བཞིན་གདོན་མི་ཟ་བར་རྣམ་པར་བཅད་དགོས་པས་སོ་སྙམ་ན།
STT_AB00563_0380_1473813_to_1476578,དེའི་རྒྱུ་མཚན་ད་དུང་སྨྲོས་ཤིག ,de'i rgyu mtshan da dung smros shig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0380_1473813_to_1476578.wav,STT_AB,2,30,2.765,wav16k/STT_AB00563_0380_1473813_to_1476578.wav,དེའི་རྒྱུ་མཚན་ད་དུང་སྨྲོས་ཤིག
STT_AB00563_0374_1449052_to_1451049,རང་བཞིན་མེད་པ་ཡོངས་སུ་གཅོད་ན་ ,rang bzhin med pa yongs su gcod na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0374_1449052_to_1451049.wav,STT_AB,2,30,1.997,wav16k/STT_AB00563_0374_1449052_to_1451049.wav,རང་བཞིན་མེད་པ་ཡོངས་སུ་གཅོད་ན་
STT_AB00563_0376_1455776_to_1463011,དེ་ལྟ་ན་རང་བཞིན་ཡོད་པ་རྣམ་པར་བཅད་ནའང་གདོན་མི་ཟ་བར་རང་བཞིན་མེད་པ་ཡོངས་སུ་གཅོད་དགོས་པ་ ,de lta na rang bzhin yod pa rnam par bcad na'ang gdon mi za bar rang bzhin med pa yongs su gcod dgos pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0376_1455776_to_1463011.wav,STT_AB,2,85,7.235,wav16k/STT_AB00563_0376_1455776_to_1463011.wav,དེ་ལྟ་ན་རང་བཞིན་ཡོད་པ་རྣམ་པར་བཅད་ནའང་གདོན་མི་ཟ་བར་རང་བཞིན་མེད་པ་ཡོངས་སུ་གཅོད་དགོས་པ་
STT_AB00563_0426_1689462_to_1701373,རྣམ་པར་བཞག་པ་ཐམས་ཅད་དང་མི་འགལ་བར་རྣམ་པར་གནས་པ་ཡིན་པ་དང་། རང་གི་ཕྱོགས་རགས་པ་ཤིན་ཏུ་ཉེ་བ་སྐྱོན་དང་ལྡན་པ་དེ་དག་དང་འགལ་བ་ལ་ཤིན་ཏུ་བླུན་པས་ ,rnam par bzhag pa thams cad dang mi 'gal bar rnam par gnas pa yin pa dang /_rang gi phyogs rags pa shin tu nye ba skyon dang ldan pa de dag dang 'gal ba la shin tu blun pas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0426_1689462_to_1701373.wav,STT_AB,2,135,11.911,wav16k/STT_AB00563_0426_1689462_to_1701373.wav,རྣམ་པར་བཞག་པ་ཐམས་ཅད་དང་མི་འགལ་བར་རྣམ་པར་གནས་པ་ཡིན་པ་དང་། རང་གི་ཕྱོགས་རགས་པ་ཤིན་ཏུ་ཉེ་བ་སྐྱོན་དང་ལྡན་པ་དེ་དག་དང་འགལ་ལ་ཤིན་ཏུ་བླུན་པས་
STT_AB00563_0398_1564598_to_1565930,ལུགས་གསུམ་པ་དགག་པ་ནི།  ,lugs gsum pa dgag pa ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00563_0398_1564598_to_1565930.wav,STT_AB,2,23,1.332,wav16k/STT_AB00563_0398_1564598_to_1565930.wav,ལུགས་གསུམ་པ་དགག་པ་ནི།
